"temp","humid","wind","rain","pm_grade","season","press"
14.2,62.9,1.4,0,"Moderate",0,1007.8
13.3,84.9,4.9,1,"Good",0,995.9
1.6,59.3,2.9,0,"Good",0,1003.1
-4.3,48.5,2.8,0,"Good",0,1017.6
6.6,64,2.6,0,"Moderate",1,1003.8
-4.1,68.9,5.2,1,"Good",1,1011.2
-0.7,80.8,1.5,1,"Moderate",1,1017.4
-4.4,57.4,3.1,0,"Good",1,1015.4
-0.6,74.5,2.1,1,"Moderate",1,1011
1.7,75.8,2.5,1,"Good",1,1014.5
3.1,65.5,2.1,0,"Moderate",1,1016.1
1.7,69.4,1.9,0,"Bad",1,1012
4.4,73.5,1.7,0,"Moderate",1,1010.8
2,68.6,2.9,1,"Good",1,1017.7
-0.5,60.4,3.2,0,"Good",1,1008.8
4.2,54,2.1,0,"Moderate",1,1017
7.1,28.6,2.4,0,"Good",1,1011.2
7.6,73,2.8,1,"Bad",1,996.9
14,51.3,2.5,0,"Moderate",1,1008.6
19.1,52.4,1.9,0,"Moderate",1,1007.3
14.9,77.3,3,1,"Moderate",1,1000.1
20.7,53.5,1.6,0,"Moderate",1,1002.5
13.3,77.3,3,1,"Moderate",1,1001.6
18.3,63.6,2.2,0,"Good",1,1003.7
20.4,54.8,2.5,0,"Moderate",1,996.7
23.6,53.9,1.9,0,"Moderate",0,1007.4
24.8,60.8,2.1,0,"Bad",0,995.6
29.4,45.1,2,0,"Moderate",0,994.1
23.5,88.5,3.7,1,"Moderate",0,987.6
24.4,85.1,1.8,1,"Moderate",0,994.3
28.4,65.9,2.4,1,"Bad",0,999.2
28.7,81.9,2.3,1,"Good",0,999.8
30.2,75,2.2,0,"Moderate",0,997.3
29.2,74.6,1.8,1,"Good",0,997.5
28.5,76.6,1.4,0,"Moderate",0,998.8
27,54.5,2.9,0,"Good",0,1001.6
29.4,67.3,1.8,0,"Bad",0,1003.1
29.4,76.8,1.6,1,"Moderate",0,1003.3
23.2,59.3,3.4,0,"Moderate",0,1007.9
17.5,60.4,1.6,0,"Good",0,1012.5
18.3,60.6,1.5,0,"Good",0,1012.3
12.7,75.3,3.7,1,"Moderate",0,1005.6
15.7,71.3,1.6,0,"Moderate",0,1011.9
10.2,50.8,1.5,0,"Good",0,1017.3
17,65.1,1.8,0,"Good",0,1008
5.8,86.4,3.4,1,"Good",0,1000.9
0.2,56.9,2.5,0,"Good",1,1012.9
1.4,60.9,2,1,"Moderate",1,1011
-2.6,51.4,2.7,0,"Good",1,1014.8
-0.1,49.6,1.7,0,"Moderate",1,1015.3
-5.1,57.4,1.7,0,"Moderate",1,1017.7
3.1,45.9,1.5,0,"Good",1,1015.4
-5.6,59.9,1.7,1,"Good",1,1009.5
-3,44.8,3,0,"Moderate",1,1017.3
3.7,49.4,2.6,0,"Moderate",1,1012.9
5.8,55,2.2,0,"Moderate",1,1015
4.9,56.3,3.6,1,"Good",1,1002.8
3.3,40.8,3.6,0,"Good",1,1011.3
8,86.1,1.9,1,"Good",1,1001.1
5.5,71.1,4.2,1,"Good",1,988.8
16.7,70,1.7,0,"Moderate",1,1001.8
18.4,36.3,2.6,0,"Moderate",1,1002
